timing	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B80	B81	B82	B83	B84	B85	B86	B87	B88	B89	B90	B91	B92	B93	B94	B95	B96	B97	B98	B99	B100
20.2 to 21.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.3 to 21.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.4 to 21.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.5 to 21.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.6 to 21.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.7 to 21.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.8 to 21.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.9 to 21.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21 to 22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.1 to 22.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.2 to 22.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.3 to 22.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.4 to 22.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.5 to 22.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.6 to 22.6	19	19	16	17	16	20	3	16	19	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17
21.7 to 22.7	19	19	16	17	16	20	3	16	19	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17
21.8 to 22.8	19	19	16	17	16	20	3	16	19	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17
21.9 to 22.9	19	19	16	17	16	20	3	16	19	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17
22 to 23	19	19	16	17	16	20	3	16	19	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17
22.1 to 23.1	19	19	16	17	16	20	3	16	19	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17
22.2 to 23.2	19	19	16	17	16	20	3	16	19	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17
22.3 to 23.3	19	19	16	17	16	20	3	16	19	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17
22.4 to 23.4	19	19	16	17	16	20	3	16	19	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17
22.5 to 23.5	19	19	16	17	16	20	3	16	19	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17	9	20	26	21	24	13	22	20	13	16	17	16	17	23	18	17	21	20	17
22.6 to 23.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22.7 to 23.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22.8 to 23.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22.9 to 23.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23 to 24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.1 to 24.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.2 to 24.2	7	3	5	9	4	13	7	8	5	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6
23.3 to 24.3	7	3	5	9	4	13	7	8	5	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6
23.4 to 24.4	7	3	5	9	4	13	7	8	5	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6
23.5 to 24.5	7	3	5	9	4	13	7	8	5	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6
23.6 to 24.6	7	3	5	9	4	13	7	8	5	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6
23.7 to 24.7	7	3	5	9	4	13	7	8	5	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6
23.8 to 24.8	7	3	5	9	4	13	7	8	5	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6
23.9 to 24.9	7	3	5	9	4	13	7	8	5	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6
24 to 25	7	3	5	9	4	13	7	8	5	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6
24.1 to 25.1	7	3	5	9	4	13	7	8	5	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6	12	9	11	10	13	10	8	6	12	9	8	10	14	6	8	11	0	9	6
24.2 to 25.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.3 to 25.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.4 to 25.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.5 to 25.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.6 to 25.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.7 to 25.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.8 to 25.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.9 to 25.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25 to 26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.1 to 26.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.2 to 26.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.3 to 26.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.4 to 26.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.5 to 26.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.6 to 26.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.7 to 26.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.8 to 26.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.9 to 26.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26 to 27	8	13	4	10	9	10	7	7	5	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10
26.1 to 27.1	8	13	4	10	9	10	7	7	5	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10
26.2 to 27.2	8	13	4	10	9	10	7	7	5	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10
26.3 to 27.3	8	13	4	10	9	10	7	7	5	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10
26.4 to 27.4	8	13	4	10	9	10	7	7	5	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10
26.5 to 27.5	8	13	4	10	9	10	7	7	5	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10
26.6 to 27.6	8	13	4	10	9	10	7	7	5	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10	7	10	15	9	7	12	9	13	8	10	9	7	6	9	8	12	8	6	10
